raw_venue_name,raw_city,canonical_venue_name,canonical_city,canonical_country,mapping_type,confidence,source
"Los Pinos Polo Club 1, Cundinamarca",Bogota,"Los Pinos Polo Club 1, Cundinamarca",Bogota,Colombia,EXACT,high,identity mapping
"Los Pinos Polo Club 2, Cundinamarca",Bogota,"Los Pinos Polo Club 2, Cundinamarca",Bogota,Colombia,EXACT,high,identity mapping
Los Reyes Polo Club,Guacima,Los Reyes Polo Club,Guacima,Costa Rica,EXACT,high,identity mapping
Lugogo Cricket Oval,Kampala,Lugogo Cricket Oval,Kampala,Uganda,EXACT,high,identity mapping
M Chinnaswamy Stadium,Bangalore,M Chinnaswamy Stadium,Bengaluru,India,CURATED_ALIAS,high,city renamed Bangalore->Bengaluru (2014); M. dot spelling merged
"M Chinnaswamy Stadium, Bengaluru",Bengaluru,M Chinnaswamy Stadium,Bengaluru,India,CURATED_ALIAS,high,city renamed Bangalore->Bengaluru (2014); M. dot spelling merged
M.Chinnaswamy Stadium,Bengaluru,M Chinnaswamy Stadium,Bengaluru,India,CURATED_ALIAS,high,city renamed Bangalore->Bengaluru (2014); M. dot spelling merged
Chittagong Divisional Stadium,,MA Aziz Stadium,Chattogram,Bangladesh,HISTORICAL_RENAME,medium,MA Aziz Stadium was formerly Chittagong Divisional Stadium; city renamed Chittagong->Chattogram
MA Aziz Stadium,Chattogram,MA Aziz Stadium,Chattogram,Bangladesh,EXACT,medium,identity mapping
"MA Aziz Stadium, Chittagong",Chattogram,MA Aziz Stadium,Chattogram,Bangladesh,CURATED_ALIAS,medium,MA Aziz Stadium was formerly Chittagong Divisional Stadium; city renamed Chittagong->Chattogram
MA Chidambaram Stadium,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai,India,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"MA Chidambaram Stadium, Chepauk",Chennai,"MA Chidambaram Stadium, Chepauk",Chennai,India,EXACT,high,identity mapping
"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,"MA Chidambaram Stadium, Chepauk",Chennai,India,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Madhavrao Scindia Cricket Ground,Rajkot,Madhavrao Scindia Cricket Ground,Rajkot,India,EXACT,high,identity mapping
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",New Chandigarh,India,CURATED_ALIAS,high,Mullanpur ground; Mohali/New Chandigarh metro tags
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",New Chandigarh,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",New Chandigarh,India,EXACT,high,identity mapping
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",New Chandigarh,India,CURATED_ALIAS,high,Mullanpur ground; Mohali/New Chandigarh metro tags
Maharani Usharaje Trust Cricket Ground,Indore,Maharani Usharaje Trust Cricket Ground,Indore,India,EXACT,high,identity mapping
Maharashtra Cricket Association Stadium,Pune,Maharashtra Cricket Association Stadium,Pune,India,EXACT,high,identity mapping
"Maharashtra Cricket Association Stadium, Pune",Pune,Maharashtra Cricket Association Stadium,Pune,India,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,Sri Lanka,EXACT,high,identity mapping
Malahide,Dublin,Malahide,Dublin,Ireland,EXACT,high,identity mapping
"Malahide, Dublin",Dublin,Malahide,Dublin,Ireland,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Malkerns Country Club oval,Malkerns,Malkerns Country Club oval,Malkerns,Eswatini,EXACT,high,identity mapping
Goodyear Park,Bloemfontein,Mangaung Oval,Bloemfontein,South Africa,HISTORICAL_RENAME,high,Bloemfontein ground renamed Goodyear Park->Mangaung Oval
"Goodyear Park, Bloemfontein",Bloemfontein,Mangaung Oval,Bloemfontein,South Africa,HISTORICAL_RENAME,high,Bloemfontein ground renamed Goodyear Park->Mangaung Oval
Mangaung Oval,Bloemfontein,Mangaung Oval,Bloemfontein,South Africa,EXACT,high,identity mapping
"Mangaung Oval, Bloemfontein",Bloemfontein,Mangaung Oval,Bloemfontein,South Africa,CURATED_ALIAS,high,Bloemfontein ground renamed Goodyear Park->Mangaung Oval
Mannofield Park,Aberdeen,Mannofield Park,Aberdeen,Scotland,EXACT,high,identity mapping
"Mannofield Park, Aberdeen",Aberdeen,Mannofield Park,Aberdeen,Scotland,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Manuka Oval,Canberra,Manuka Oval,Canberra,Australia,EXACT,high,identity mapping
"Manuka Oval, Canberra",Canberra,Manuka Oval,Canberra,Australia,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Maple Leaf North-East Ground, King City",King City,"Maple Leaf North-East Ground, King City",King City,Canada,EXACT,high,identity mapping
Maple Leaf North-West Ground,King City,Maple Leaf North-West Ground,King City,Canada,EXACT,medium,identity mapping
Maple Leaf North-West Ground,Toronto,Maple Leaf North-West Ground,King City,Canada,CURATED_ALIAS,medium,ground is at King City (Greater Toronto tag)
"Maple Leaf North-West Ground, King City",King City,Maple Leaf North-West Ground,King City,Canada,CURATED_ALIAS,medium,ground is at King City (Greater Toronto tag)
Marrara Cricket Ground,Darwin,Marrara Cricket Ground,Darwin,Australia,EXACT,high,identity mapping
"Marrara Cricket Ground, Darwin",Darwin,Marrara Cricket Ground,Darwin,Australia,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Marrara Stadium, Darwin",Darwin,"Marrara Stadium, Darwin",Darwin,Australia,EXACT,high,identity mapping
Marsa Sports Club,Marsa,Marsa Sports Club,Marsa,Malta,EXACT,high,identity mapping
McLean Park,Napier,McLean Park,Napier,New Zealand,EXACT,high,identity mapping
"McLean Park, Napier",Napier,McLean Park,Napier,New Zealand,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Meersen, Gent",Ghent,"Meersen, Gent",Ghent,Belgium,EXACT,high,identity mapping
Melbourne Cricket Ground,,Melbourne Cricket Ground,Melbourne,Australia,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Melbourne Cricket Ground,Melbourne,Melbourne Cricket Ground,Melbourne,Australia,EXACT,high,identity mapping
"Mission Road Ground, Mong Kok",Hong Kong,"Mission Road Ground, Mong Kok",Mong Kok,Hong Kong,CURATED_ALIAS,high,"Mong Kok, Hong Kong"
"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,"Mission Road Ground, Mong Kok",Mong Kok,Hong Kong,CURATED_ALIAS,high,"Mong Kok, Hong Kong"
"Mladost Cricket Ground, Zagreb",Zagreb,"Mladost Cricket Ground, Zagreb",Zagreb,Croatia,EXACT,high,identity mapping
Moara Vlasiei Cricket Ground,,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Romania,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Romania,EXACT,high,identity mapping
Mombasa Sports Club Ground,,Mombasa Sports Club Ground,Mombasa,Kenya,CURATED_ALIAS,high,city unambiguous from venue name
"Moosa Cricket Stadium, Pearland",Pearland,"Moosa Cricket Stadium, Pearland",Pearland,United States,EXACT,high,identity mapping
Moses Mabhida Stadium,Durban,Moses Mabhida Stadium,Durban,South Africa,EXACT,high,identity mapping
Mulpani Cricket Ground,Kathmandu,Mulpani Cricket Ground,Kathmandu,Nepal,EXACT,high,identity mapping
Multan Cricket Stadium,,Multan Cricket Stadium,Multan,Pakistan,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Multan Cricket Stadium,Multan,Multan Cricket Stadium,Multan,Pakistan,EXACT,high,identity mapping
Nahar Singh Stadium,Faridabad,Nahar Singh Stadium,Faridabad,India,EXACT,high,identity mapping
"Nahar Singh Stadium, Faridabad",Faridabad,Nahar Singh Stadium,Faridabad,India,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Namibia Cricket Ground, Windhoek",Windhoek,"Namibia Cricket Ground, Windhoek",Windhoek,Namibia,EXACT,high,identity mapping
Narayanganj Osmani Stadium,Fatullah,Narayanganj Osmani Stadium,Fatullah,Bangladesh,EXACT,high,identity mapping
Narendra Modi Stadium,Ahmedabad,Narendra Modi Stadium,Ahmedabad,India,EXACT,high,identity mapping
"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Narendra Modi Stadium,Ahmedabad,India,CURATED_ALIAS,high,Motera ground renamed Sardar Patel Stadium->Narendra Modi Stadium (2021)
"Sardar Patel (Gujarat) Stadium, Motera",Ahmedabad,Narendra Modi Stadium,Ahmedabad,India,HISTORICAL_RENAME,high,Motera ground renamed Sardar Patel Stadium->Narendra Modi Stadium (2021)
"Sardar Patel Stadium, Motera",Ahmedabad,Narendra Modi Stadium,Ahmedabad,India,HISTORICAL_RENAME,high,Motera ground renamed Sardar Patel Stadium->Narendra Modi Stadium (2021)
"Nassau County International Cricket Stadium, New York",New York,"Nassau County International Cricket Stadium, New York",New York,United States,EXACT,high,identity mapping
National Cricket Stadium,St George's,National Cricket Stadium,St George's,Grenada,EXACT,high,identity mapping
"National Cricket Stadium, Grenada",St George's,National Cricket Stadium,St George's,Grenada,CURATED_ALIAS,high,"St George's, Grenada"
"National Cricket Stadium, St George's",Grenada,National Cricket Stadium,St George's,Grenada,CURATED_ALIAS,high,"St George's, Grenada"
"National Cricket Stadium, St George's, Grenada",St George's,National Cricket Stadium,St George's,Grenada,CURATED_ALIAS,high,"St George's, Grenada"
"National Sports Academy, Sofia",Sofia,"National Sports Academy, Sofia",Sofia,Bulgaria,EXACT,high,identity mapping
National Stadium,Hamilton,"National Stadium, Hamilton",Hamilton,New Zealand,NORMALIZED_ALIAS,high,same-city spelling variant; grounds differ by city
"National Stadium, Hamilton",Hamilton,"National Stadium, Hamilton",Hamilton,New Zealand,EXACT,high,identity mapping
National Stadium,Karachi,National Stadium,Karachi,Pakistan,EXACT,high,identity mapping
"National Stadium, Karachi",Karachi,National Stadium,Karachi,Pakistan,NORMALIZED_ALIAS,high,same-city spelling variant; grounds differ by city
Nehru Stadium,Guwahati,Nehru Stadium,Guwahati,India,EXACT,high,identity mapping
Nehru Stadium,Kochi,Nehru Stadium,Kochi,India,EXACT,high,identity mapping
"Nehru Stadium, Fatorda",Margao,"Nehru Stadium, Fatorda",Margao,India,EXACT,high,identity mapping
Nehru Stadium,Pune,Nehru Stadium,Pune,India,EXACT,high,identity mapping
"Nehru Stadium, Poona",Pune,Nehru Stadium,Pune,India,NORMALIZED_ALIAS,high,same-city spelling variant; grounds differ by city
New Wanderers Stadium,Johannesburg,New Wanderers Stadium,Johannesburg,South Africa,EXACT,medium,identity mapping
"New Wanderers Stadium, Johannesburg",Johannesburg,New Wanderers Stadium,Johannesburg,South Africa,CURATED_ALIAS,medium,The Wanderers is the concurrent Cricsheet spelling of the Johannesburg ground
The Wanderers Stadium,Johannesburg,New Wanderers Stadium,Johannesburg,South Africa,CURATED_ALIAS,medium,The Wanderers is the concurrent Cricsheet spelling of the Johannesburg ground
"The Wanderers Stadium, Johannesburg",Johannesburg,New Wanderers Stadium,Johannesburg,South Africa,CURATED_ALIAS,medium,The Wanderers is the concurrent Cricsheet spelling of the Johannesburg ground
Newlands,Cape Town,Newlands,Cape Town,South Africa,EXACT,high,identity mapping
"Newlands, Cape Town",Cape Town,Newlands,Cape Town,South Africa,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Niaz Stadium, Hyderabad",Sind,"Niaz Stadium, Hyderabad",Sind,Pakistan,EXACT,high,identity mapping
"Nigeria Cricket Federation Oval 1, Abuja",Abuja,"Nigeria Cricket Federation Oval 1, Abuja",Abuja,Nigeria,EXACT,high,identity mapping
"Nigeria Cricket Federation Oval 2, Abuja",Abuja,"Nigeria Cricket Federation Oval 2, Abuja",Abuja,Nigeria,EXACT,high,identity mapping
"Niranjan Shah Stadium, Rajkot",Rajkot,"Niranjan Shah Stadium, Rajkot",Rajkot,India,EXACT,high,identity mapping
"North West Cricket Stadium, Potchefstroom",Potchefstroom,"North West Cricket Stadium, Potchefstroom",Potchefstroom,South Africa,EXACT,high,identity mapping
Old Hararians,Harare,Old Hararians,Harare,Zimbabwe,EXACT,high,identity mapping
Old Trafford,Manchester,Old Trafford,Manchester,England,EXACT,high,identity mapping
"Old Trafford, Manchester",Manchester,Old Trafford,Manchester,England,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
OUTsurance Oval,Bloemfontein,OUTsurance Oval,Bloemfontein,South Africa,EXACT,high,identity mapping
P Sara Oval,Colombo,P Sara Oval,Colombo,Sri Lanka,EXACT,high,identity mapping
P Saravanamuttu Stadium,Colombo,P Saravanamuttu Stadium,Colombo,Sri Lanka,EXACT,high,identity mapping
Pallekele International Cricket Stadium,,Pallekele International Cricket Stadium,Kandy,Sri Lanka,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Pallekele International Cricket Stadium,Kandy,Pallekele International Cricket Stadium,Kandy,Sri Lanka,EXACT,high,identity mapping
Perth Stadium,,Perth Stadium,Perth,Australia,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Perth Stadium,Perth,Perth Stadium,Perth,Australia,EXACT,high,identity mapping
Pierre Werner Cricket Ground,Walferdange,Pierre Werner Cricket Ground,Walferdange,Luxembourg,EXACT,high,identity mapping
Prairie View Cricket Complex,Houston,Prairie View Cricket Complex,Houston,United States,EXACT,high,identity mapping
Providence Stadium,Guyana,Providence Stadium,Providence,Guyana,CURATED_ALIAS,high,"Providence, Guyana"
"Providence Stadium, Guyana",Providence,Providence Stadium,Providence,Guyana,CURATED_ALIAS,high,"Providence, Guyana"
Punjab Cricket Association IS Bindra Stadium,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,India,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,India,EXACT,high,identity mapping
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,India,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Punjab Cricket Association Stadium, Mohali",Chandigarh,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,EXACT,high,identity mapping
"Queen's Park (New), St George's, Grenada",St George's,"Queen's Park (New), St George's, Grenada",St George's,Grenada,EXACT,high,identity mapping
"Queen's Park Oval, Port of Spain",Trinidad,Queen's Park Oval,Port of Spain,Trinidad and Tobago,CURATED_ALIAS,high,"Port of Spain, Trinidad"
"Queen's Park Oval, Port of Spain, Trinidad",Port of Spain,Queen's Park Oval,Port of Spain,Trinidad and Tobago,CURATED_ALIAS,high,"Port of Spain, Trinidad"
"Queen's Park Oval, Trinidad",Port of Spain,Queen's Park Oval,Port of Spain,Trinidad and Tobago,CURATED_ALIAS,high,"Port of Spain, Trinidad"
Queens Sports Club,Bulawayo,"Queens Sports Club, Bulawayo",Bulawayo,Zimbabwe,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Queens Sports Club, Bulawayo",Bulawayo,"Queens Sports Club, Bulawayo",Bulawayo,Zimbabwe,EXACT,high,identity mapping
Queenstown Events Centre,,Queenstown Events Centre,Queenstown,New Zealand,CURATED_ALIAS,high,city unambiguous from venue name
R Premadasa Stadium,Colombo,R Premadasa Stadium,Colombo,Sri Lanka,EXACT,high,identity mapping
"R Premadasa Stadium, Colombo",Colombo,R Premadasa Stadium,Colombo,Sri Lanka,CURATED_ALIAS,high,R. dot spelling merged; Khettarama is a Colombo suburb
R.Premadasa Stadium,Colombo,R Premadasa Stadium,Colombo,Sri Lanka,CURATED_ALIAS,high,R. dot spelling merged; Khettarama is a Colombo suburb
"R.Premadasa Stadium, Khettarama",Colombo,R Premadasa Stadium,Colombo,Sri Lanka,CURATED_ALIAS,high,R. dot spelling merged; Khettarama is a Colombo suburb
Rajiv Gandhi International Stadium,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,EXACT,high,identity mapping
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Rangiri Dambulla International Stadium,,Rangiri Dambulla International Stadium,Dambulla,Sri Lanka,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Rangiri Dambulla International Stadium,Dambulla,Rangiri Dambulla International Stadium,Dambulla,Sri Lanka,EXACT,high,identity mapping
Rawalpindi Cricket Stadium,,Rawalpindi Cricket Stadium,Rawalpindi,Pakistan,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Rawalpindi Cricket Stadium,Rawalpindi,Rawalpindi Cricket Stadium,Rawalpindi,Pakistan,EXACT,high,identity mapping
"Reforma Athletic Club, Naucalpan",Naucalpan,"Reforma Athletic Club, Naucalpan",Naucalpan,Mexico,EXACT,high,identity mapping
Reliance Stadium,Vadodara,Reliance Stadium,Vadodara,India,EXACT,high,identity mapping
Riverside Ground,Chester-le-Street,Riverside Ground,Chester-le-Street,England,EXACT,high,identity mapping
"Riverside Ground, Chester-le-Street",Chester-le-Street,Riverside Ground,Chester-le-Street,England,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Riverway Stadium, Townsville",Townsville,"Riverway Stadium, Townsville",Townsville,Australia,EXACT,high,identity mapping
Roma Cricket Ground,Spinaceto,Roma Cricket Ground,Spinaceto,Italy,EXACT,high,identity mapping
"Royal Brussels Cricket Club Ground, Waterloo",Waterloo,"Royal Brussels Cricket Club Ground, Waterloo",Waterloo,Belgium,EXACT,high,identity mapping
Ruaraka Sports Club Ground,Nairobi,"Ruaraka Sports Club Ground, Nairobi",Nairobi,Kenya,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Ruaraka Sports Club Ground, Nairobi",Nairobi,"Ruaraka Sports Club Ground, Nairobi",Nairobi,Kenya,EXACT,high,identity mapping
"Sabina Park, Kingston",Jamaica,Sabina Park,Kingston,Jamaica,CURATED_ALIAS,high,"Kingston, Jamaica"
"Sabina Park, Kingston, Jamaica",Kingston,Sabina Park,Kingston,Jamaica,CURATED_ALIAS,high,"Kingston, Jamaica"
Sano International Cricket Ground,Sano,Sano International Cricket Ground,Sano,Japan,EXACT,high,identity mapping
Sano International Cricket Ground 2,Sano,Sano International Cricket Ground 2,Sano,Japan,EXACT,high,identity mapping
Santarem Cricket Ground,Albergaria,Santarem Cricket Ground,Albergaria,Portugal,EXACT,high,identity mapping
Sao Fernando Polo and Cricket Club,Seropedica,Sao Fernando Polo and Cricket Club,Seropedica,Brazil,EXACT,high,identity mapping
Saurashtra Cricket Association Stadium,Rajkot,Saurashtra Cricket Association Stadium,Rajkot,India,EXACT,high,identity mapping
"Saurashtra Cricket Association Stadium, Rajkot",Rajkot,Saurashtra Cricket Association Stadium,Rajkot,India,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Sawai Mansingh Stadium,Jaipur,Sawai Mansingh Stadium,Jaipur,India,EXACT,high,identity mapping
"Sawai Mansingh Stadium, Jaipur",Jaipur,Sawai Mansingh Stadium,Jaipur,India,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Saxton Oval,Nelson,Saxton Oval,Nelson,New Zealand,EXACT,high,identity mapping
"Saxton Oval, Nelson",Nelson,Saxton Oval,Nelson,New Zealand,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Scott Page Field, Vinor",Prague,"Scott Page Field, Vinor",Prague,Czechia,EXACT,high,identity mapping
Sector 16 Stadium,Chandigarh,Sector 16 Stadium,Chandigarh,India,EXACT,high,identity mapping
Seddon Park,Hamilton,Seddon Park,Hamilton,New Zealand,EXACT,high,identity mapping
"Seddon Park, Hamilton",Hamilton,Seddon Park,Hamilton,New Zealand,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Sedgars Park,Potchefstroom,Sedgars Park,Potchefstroom,South Africa,EXACT,high,identity mapping
"Sedgars Park, Potchefstroom",Potchefstroom,Sedgars Park,Potchefstroom,South Africa,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Selangor Turf Club, Kuala Lumpur",Kuala Lumpur,"Selangor Turf Club, Kuala Lumpur",Kuala Lumpur,Malaysia,EXACT,high,identity mapping
Senwes Park,Potchefstroom,Senwes Park,Potchefstroom,South Africa,EXACT,high,identity mapping
"Senwes Park, Potchefstroom",Potchefstroom,Senwes Park,Potchefstroom,South Africa,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Shaheed Chandu Stadium,Bogra,Shaheed Chandu Stadium,Bogra,Bangladesh,EXACT,high,identity mapping
Shaheed Veer Narayan Singh International Stadium,Raipur,Shaheed Veer Narayan Singh International Stadium,Raipur,India,EXACT,high,identity mapping
"Shaheed Veer Narayan Singh International Stadium, Raipur",Raipur,Shaheed Veer Narayan Singh International Stadium,Raipur,India,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Sharjah Cricket Association Stadium,Sharjah,Sharjah Cricket Association Stadium,Sharjah,United Arab Emirates,EXACT,high,identity mapping
Sharjah Cricket Stadium,,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Sharjah Cricket Stadium,Sharjah,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,EXACT,high,identity mapping
Sheikh Abu Naser Stadium,Khulna,Sheikh Abu Naser Stadium,Khulna,Bangladesh,EXACT,high,identity mapping
Sheikh Zayed Stadium,Abu Dhabi,Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,EXACT,high,identity mapping
Sheikhupura Stadium,,Sheikhupura Stadium,Sheikhupura,Pakistan,CURATED_ALIAS,high,city unambiguous from venue name
Shere Bangla National Stadium,Dhaka,Shere Bangla National Stadium,Mirpur,Bangladesh,CURATED_ALIAS,high,Mirpur suburb of Dhaka
Shere Bangla National Stadium,Mirpur,Shere Bangla National Stadium,Mirpur,Bangladesh,EXACT,high,identity mapping
"Shere Bangla National Stadium, Mirpur",Dhaka,Shere Bangla National Stadium,Mirpur,Bangladesh,CURATED_ALIAS,high,Mirpur suburb of Dhaka
Sher-e-Bangla National Cricket Stadium,Mirpur,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh,EXACT,high,identity mapping
"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Gwalior,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Gwalior,India,EXACT,high,identity mapping
"Sikh Union Club Ground, Nairobi",Nairobi,"Sikh Union Club Ground, Nairobi",Nairobi,Kenya,EXACT,high,identity mapping
"Simar Cricket Ground, Rome",Rome,"Simar Cricket Ground, Rome",Rome,Italy,EXACT,high,identity mapping
"Simonds Stadium, South Geelong",Victoria,"Simonds Stadium, South Geelong",Victoria,Seychelles,EXACT,high,identity mapping
Singapore National Cricket Ground,Singapore,Singapore National Cricket Ground,Singapore,Singapore,EXACT,high,identity mapping
Sinhalese Sports Club,Colombo,Sinhalese Sports Club,Colombo,Sri Lanka,EXACT,high,identity mapping
Sinhalese Sports Club Ground,Colombo,Sinhalese Sports Club Ground,Colombo,Sri Lanka,EXACT,high,identity mapping
"Sinhalese Sports Club Ground, Colombo",Colombo,Sinhalese Sports Club Ground,Colombo,Sri Lanka,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Sir Vivian Richards Stadium,North Sound,Sir Vivian Richards Stadium,North Sound,Antigua and Barbuda,EXACT,high,identity mapping
"Sir Vivian Richards Stadium, North Sound",Antigua,Sir Vivian Richards Stadium,North Sound,Antigua and Barbuda,CURATED_ALIAS,high,"North Sound, Antigua"
"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,Sir Vivian Richards Stadium,North Sound,Antigua and Barbuda,CURATED_ALIAS,high,"North Sound, Antigua"
Sky Stadium,Wellington,"Sky Stadium, Wellington",Wellington,New Zealand,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Sky Stadium, Wellington",Wellington,"Sky Stadium, Wellington",Wellington,New Zealand,EXACT,high,identity mapping
"Solvangs Park, Glostrup",Copenhagen,"Solvangs Park, Glostrup",Copenhagen,Denmark,EXACT,high,identity mapping
Sophia Gardens,Cardiff,Sophia Gardens,Cardiff,Wales,EXACT,high,identity mapping
"Sophia Gardens, Cardiff",Cardiff,Sophia Gardens,Cardiff,Wales,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Sportpark Het Schootsveld,Deventer,"Sportpark Het Schootsveld, Deventer",Deventer,Netherlands,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Sportpark Het Schootsveld, Deventer",Deventer,"Sportpark Het Schootsveld, Deventer",Deventer,Netherlands,EXACT,high,identity mapping
Sportpark Maarschalkerweerd,Utrecht,"Sportpark Maarschalkerweerd, Utrecht",Utrecht,Netherlands,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Sportpark Maarschalkerweerd, Utrecht",Utrecht,"Sportpark Maarschalkerweerd, Utrecht",Utrecht,Netherlands,EXACT,high,identity mapping
Sportpark Westvliet,The Hague,"Sportpark Westvliet, The Hague",The Hague,Netherlands,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"Sportpark Westvliet, The Hague",The Hague,"Sportpark Westvliet, The Hague",The Hague,Netherlands,EXACT,high,identity mapping
"Sportpark Westvliet, Voorburg",The Hague,"Sportpark Westvliet, The Hague",The Hague,Netherlands,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
"St Albans Club, Buenos Aires",Buenos Aires,"St Albans Club, Buenos Aires",Buenos Aires,Argentina,EXACT,high,identity mapping
"St George's College Ground, Buenos Aires",Buenos Aires,"St George's College Ground, Buenos Aires",Buenos Aires,Argentina,EXACT,high,identity mapping
St George's Park,Port Elizabeth,St George's Park,Gqeberha,South Africa,CURATED_ALIAS,high,city renamed Port Elizabeth->Gqeberha (2021)
"St George's Park, Gqeberha",Gqeberha,St George's Park,Gqeberha,South Africa,CURATED_ALIAS,high,city renamed Port Elizabeth->Gqeberha (2021)
"St George's Park, Port Elizabeth",Gqeberha,St George's Park,Gqeberha,South Africa,CURATED_ALIAS,high,city renamed Port Elizabeth->Gqeberha (2021)
St Georges Quilmes,,St Georges Quilmes,Quilmes,Argentina,CURATED_ALIAS,high,"St George's College ground at Quilmes, Argentina"
St Lawrence Ground,Canterbury,St Lawrence Ground,Canterbury,England,EXACT,high,identity mapping
"St Lawrence Ground, Canterbury",Canterbury,St Lawrence Ground,Canterbury,England,NORMALIZED_ALIAS,high,same-ground naming variants in Cricsheet data
Stadium Australia,Sydney,Stadium Australia,Sydney,Australia,EXACT,high,identity mapping
"Stars Arena Hofstade, Zemst",Zemst,"Stars Arena Hofstade, Zemst",Zemst,Belgium,EXACT,high,identity mapping
"Stubberudmyra Cricket Ground, Oslo",Oslo,"Stubberudmyra Cricket Ground, Oslo",Oslo,Norway,EXACT,high,identity mapping
Subrata Roy Sahara Stadium,Pune,Subrata Roy Sahara Stadium,Pune,India,EXACT,high,identity mapping
